"Property Address","Mailing City","Mailing State","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"60 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.062374,-73.533541,1,rooftop,"60 Strawberry Hill Ave",,"Stamford, CT 06902",60,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247ek43kzayzug2a9,building_centroid
"60 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.062374,-73.533541,1,rooftop,"60 Strawberry Hill Ave",,"Stamford, CT 06902",60,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247ek43kzayzug2a9,building_centroid
"60 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.062374,-73.533541,1,rooftop,"60 Strawberry Hill Ave",,"Stamford, CT 06902",60,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247ek43kzayzug2a9,building_centroid
"107 LOCKWOOD AVENUE",STAMFORD,CT,41.052442,-73.521904,1,rooftop,"107 Lockwood Ave",,"Stamford, CT 06902",107,"Lockwood Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnjnsvcabu288cghmstrawx7pv8e,building_centroid
"1400 BEDFORD STREET",STAMFORD,CT,41.063589,-73.540793,1,rooftop,"1400 Bedford St",,"Stamford, CT 06905",1400,"Bedford St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnxgapvae5gwy5dc6tzw8b72lcze,building_centroid
"30 MAPLE TREE AVENUE",STAMFORD,CT,41.071582,-73.515066,1,rooftop,"30 Maple Tree Ave",,"Stamford, CT 06906",30,"Maple Tree Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnlpm6xtnxdrsmear9lz6ghel7a9,building_centroid
"37 GREENWICH AVENUE",STAMFORD,CT,41.049426,-73.546699,1,rooftop,"37 Greenwich Ave",,"Stamford, CT 06902",37,"Greenwich Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnyd6a59b34xks3a867gmjlhuybf,building_centroid
"39 WOODWAY ROAD ",STAMFORD,CT,41.101844,-73.514605,1,rooftop,"39 Woodway Rd",,"Stamford, CT 06907",39,"Woodway Rd",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnqrbt6htjknrmar2vmt8gpa5d5c,building_centroid
"30 GLENBROOK ROAD",STAMFORD,CT,41.056483,-73.530063,1,rooftop,"30 Glenbrook Rd",,"Stamford, CT 06902",30,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve647y98gmk8fx6,building_centroid
"30 GLENBROOK ROAD",STAMFORD,CT,41.056483,-73.530063,1,rooftop,"30 Glenbrook Rd",,"Stamford, CT 06902",30,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve647y98gmk8fx6,building_centroid
"180 GLENBROOK ROAD ",STAMFORD,CT,41.06069,-73.527456,1,rooftop,"180 Glenbrook Rd",,"Stamford, CT 06902",180,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve2u8jde7mx7fq4,building_centroid
"180 GLENBROOK ROAD #GAR70",STAMFORD,CT,41.06069,-73.527456,1,rooftop,"180 Glenbrook Rd","# GAR70","Stamford, CT 06902",180,"Glenbrook Rd",#,GAR70,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve2u8jde7mx7fq4-ew4aqcse4fn7f,building_centroid
"237 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.068352,-73.532988,1,rooftop,"237 Strawberry Hill Ave",,"Stamford, CT 06902",237,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247ear6vymy9l2npe,building_centroid
"264 GLENBROOK ROAD",STAMFORD,CT,41.063277,-73.523748,1,rooftop,"264 Glenbrook Rd",,"Stamford, CT 06906",264,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnta7zqter5yv9fczweaxwwctzfc,building_centroid
"149 MYRTLE AVENUE",STAMFORD,CT,41.051436,-73.527468,1,rooftop,"149 Myrtle Ave",,"Stamford, CT 06902",149,"Myrtle Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn7ykrfcpkdx45e9nfk5drcluxh5,building_centroid
"1051 EAST MAIN STREET ",STAMFORD,CT,41.056577,-73.517551,1,rooftop,"1051 E Main St",,"Stamford, CT 06902",1051,"E Main St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usntvhz3k7qw38eh9azcrnap7mrme,building_centroid
"0 LARKIN STREET ",STAMFORD,CT,41.078143,-73.520444,1,street_center,"Larkin St",,"Stamford, CT 06907",,"Larkin St",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"TIGER/Line® dataset from the US Census Bureau",gcod_usslsbpvdgesz4t2,
"984 HIGH RIDGE ROAD ",STAMFORD,CT,41.105039,-73.548846,1,rooftop,"984 High Ridge Rd",,"Stamford, CT 06905",984,"High Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnyvscp4ey3fbqahqwn3jvq3syz6,building_centroid
"61 SEAVIEW AVENUE",STAMFORD,CT,41.040809,-73.523368,1,rooftop,"61 Seaview Ave",,"Stamford, CT 06902",61,"Seaview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn6sb6uxruwbpp5k82drhq8n7et5,building_centroid
"76 KNICKERBOCKER AVENUE ",STAMFORD,CT,41.0869,-73.520683,1,rooftop,"76 Knickerbocker Ave",,"Stamford, CT 06907",76,"Knickerbocker Ave",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usn6expwtzjp7um2dx3jwfskq49c7,building_centroid
